Ticker,SimFinId,Date,Open,High,Low,Close,Adj. Close,Volume,Shares Outstanding,Returns,SMA_5,SMA_20,Volatility_5,Volatility_20,Volume_Change,RSI_14,Price_Range,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,BB_Position,Momentum_10,Momentum_20,ATR_14,ATR_Ratio,Return_Lag1,Return_Lag2,Return_Lag3,Return_Lag5,Volume_SMA_10,Volume_Ratio,DayOfWeek,Dist_SMA_5,Dist_SMA_20,Target
TSLA,56317,2021-03-19,215.53,219.08,208.21,218.29,218.29,128681934,2879560512.0,0.0026146204202717196,226.31199999999998,224.721,0.04537924721810075,0.06362712530044982,0.28544306752532345,42.599706642453036,0.04979614274588852,-8.245918690420439,-9.665823932480235,1.4199052420597962,253.00265996766046,196.43934003233954,0.25170464680791255,0.3863044105728989,0.0951735902067028,-0.16180931536305343,17.86428571428571,0.08183739848039631,-0.07185483865656163,0.036168182716139544,-0.04485056616535179,-0.008440322262061938,128402488.2,1.0021763269849158,4,-0.03544664003676337,-0.028617708180365926,3
TSLA,56317,2021-03-22,228.2,233.21,222.92,223.33,223.33,118536663,2879560512.0,0.02282604424611223,223.782,223.97899999999998,0.045835485631316036,0.061047160664284325,-0.07883990148920206,48.007852261160394,0.046075314556933776,-7.79587870783331,-9.29183488755085,1.49595617971754,251.5446016765375,196.41339832346247,0.246144519589225,0.48822808209275603,0.19001438695582684,-0.06230843515136242,18.07,0.08091165539784176,0.0026146204202717196,-0.07185483865656163,0.036168182716139544,0.020290923457497674,124720067.1,0.9504217385078685,0,-0.002019822863322332,-0.0028975930779223612,0
TSLA,56317,2021-03-23,225.26,225.93,219.17,220.72,220.72,91475610,2879560512.0,-0.011755568323352674,222.8,223.3675,0.041953842127025805,0.060921424035200435,-0.2282926844330011,51.15828620128613,0.03062703878216754,-7.562646485489154,-8.945997207138511,1.3833507216493572,250.63618253818794,196.09881746181208,0.24415980425252493,0.451455300484496,-0.01696877922772011,-0.05250053659583598,17.386428571428574,0.07877142339356911,0.02282604424611223,0.0026146204202717196,-0.07185483865656163,-0.04485056616535179,113610629.7,0.8051677051834878,1,-0.009335727109515315,-0.011852664331203097,0
TSLA,56317,2021-03-24,222.64,222.67,210.04,210.09,210.09,101385522,2879560512.0,-0.04935891957349459,218.02999999999997,221.50500000000002,0.0385778306701302,0.05990067137427026,0.1083339263875911,51.13847583643123,0.060117092674568016,-8.14170788980087,-8.785139343670982,0.6434314538701127,246.90389388391498,196.10610611608507,0.22933020820220715,0.2752854897506165,-0.05658089721137005,-0.1506024096385542,16.65857142857143,0.0792925480916342,-0.011755568323352674,0.02282604424611223,0.0026146204202717196,0.036168182716139544,105567480.3,0.9603859229365352,2,-0.0364170068339218,-0.051533825421548135,3
TSLA,56317,2021-03-25,204.33,215.17,203.17,213.46,213.46,117674550,2879560512.0,0.015913451150282882,217.17800000000003,220.80749999999998,0.028624745983581595,0.057354472767171524,0.16066424158668324,55.67142627948019,0.056216621381054994,-8.233773572497512,-8.674866189436289,0.44109261693877677,246.28965464326384,195.3253453567361,0.23080877817342138,0.3558304801367678,-0.08464837049742702,-0.061342948858889135,15.41214285714286,0.07220154997256094,-0.04935891957349459,-0.011755568323352674,0.02282604424611223,-0.07185483865656163,106458767.7,1.1053532982046719,3,-0.017119597749311703,-0.03327559072948142,0
TSLA,56317,2021-03-26,213.96,214.61,199.96,206.24,206.24,101558481,2879560512.0,-0.034408922294941656,214.76800000000003,219.86100000000002,0.031176328717100573,0.05776630017927368,-0.13695458363766844,57.72269816185646,0.07103374709076807,-8.788027043869533,-8.697498360322937,-0.09052868354659616,246.05714025406385,193.66485974593618,0.2382972901429888,0.24001895187809263,-0.10811278325549212,-0.08406981391837265,14.997857142857145,0.07272040895489305,0.015913451150282882,-0.04935891957349459,-0.011755568323352674,0.0026146204202717196,106539463.8,0.9532475326762438,4,-0.039707963942486865,-0.0619527792559845,0
TSLA,56317,2021-03-29,205.21,205.49,198.67,203.76,203.76,85910955,2879560512.0,-0.012097708519675754,210.85399999999998,218.075,0.024879728106452764,0.05564598114785621,-0.15407404527840463,37.903319743739075,0.03347074990184542,-9.319957518091257,-8.821990191876601,-0.4979673262146562,243.4984475280318,192.6515524719682,0.23316242144245605,0.21846855183160485,-0.13653699466056446,-0.1491565057624854,12.798571428571432,0.0628119916989175,-0.034408922294941656,0.015913451150282882,-0.04935891957349459,0.02282604424611223,106303515.6,0.8081666397870289,0,-0.033644132907130024,-0.06564255416714432,3
TSLA,56317,2021-03-30,200.58,212.55,197.0,211.87,211.87,118297077,2879560512.0,0.03903004836499774,209.084,217.228,0.03608424579975256,0.05586061017176281,0.37697313456706416,44.1272253582284,0.07339406239675278,-8.983550254098702,-8.854302204321021,-0.12924804977768112,242.27147428394446,192.18452571605556,0.23057316997757607,0.3930260246791106,-0.06098479812081725,-0.07403522573314103,12.414285714285716,0.058593881692951884,-0.012097708519675754,-0.034408922294941656,0.015913451150282882,-0.011755568323352674,108474521.7,1.0905517272264682,1,0.013324788123433651,-0.024665328594840462,3
TSLA,56317,2021-03-31,215.54,224.0,213.7,222.64,222.64,100011864,2889000000.0,0.049583238181436014,211.594,217.47349999999997,0.03497192458189792,0.055985644112053916,-0.15457028578990162,44.28447715955834,0.046263025512037426,-7.758461369157544,-8.635134037288326,0.8766726681307819,242.63368766142165,192.3133123385783,0.23138623934798194,0.6026721276789571,-0.04830298367102681,0.02255086575115972,12.460714285714289,0.05596799445613677,0.03903004836499774,-0.012097708519675754,-0.034408922294941656,-0.04935891957349459,106363972.2,0.9402795131789935,2,0.052203748688526105,0.023756917509489727,1
TSLA,56317,2021-04-01,229.46,230.81,219.81,220.58,220.58,105895134,2889000000.0,-0.009295676339634342,213.01799999999997,218.14499999999998,0.0359974589163382,0.05476559350847644,0.058825720916470425,44.23659169550173,0.0498685284250612,-6.8745488653528355,-8.283017002901229,1.4084681375483932,242.85797933007026,193.4320206699297,0.226573878200924,0.549265609934719,0.013136138159103528,0.06483224716389091,12.450000000000005,0.056442107172001106,0.049583238181436014,0.03903004836499774,-0.012097708519675754,0.015913451150282882,106942779.0,0.9902036864031746,3,0.035499347472983694,0.011162300304843251,3
